CT,V,AP,RH,RPM_GAS,EX_TEMP,RPM_STEAM,STEAM_PRESSURE,WATER_FR,POWER_1,POWER_2
279.01,70.04,1010.02,57.35,2815.593929,803.9254942,2311.586709,459.8422794,101.9068415,430.26,305.8390082
279.01,53.3,1004.91,53.3,2815.629523,803.9353517,2311.616556,459.8669993,101.911475,430.27,305.8540721
281.26,76.09,1006.66,63.91,2816.493896,804.1522479,2312.254258,460.4104869,102.0166366,430.36,306.1767856
277.51,71.29,1009.43,76.92,2816.887699,804.2507996,2312.546532,460.6575247,102.0646565,430.42,306.323169
281.24,74.22,1007.74,48.77,2816.929673,804.2606951,2312.576571,460.6822186,102.0692813,430.44,306.3375804
276.86,71.32,1007.38,81.14,2816.965417,804.2705787,2312.605375,460.7068827,102.07414,430.44,306.3528533
280.69,73.67,1006.14,60.58,2817.002201,804.2804765,2312.634378,460.7317273,102.0788431,430.45,306.3681632
276.75,43.21,1012.29,87.28,2817.043281,804.290307,2312.662267,460.7562986,102.0835604,430.45,306.3824697
281.71,73.5,1010.63,40.17,2817.08262,804.3001727,2312.692317,460.7808732,102.0885722,430.45,306.3973838
279.25,69.98,1010.74,57.42,2817.121042,804.3100019,2312.721343,460.8056741,102.0933102,430.45,306.4120022
280.72,71.58,1009.98,50.39,2817.159863,804.3198681,2312.749176,460.8302712,102.0978834,430.46,306.4270269
281.32,71.29,1008.37,50.07,2817.199825,804.3297216,2312.777359,460.8548536,102.1027879,430.46,306.4420942
281.73,73.42,1010.8,61.81,2817.240501,804.3396072,2312.807387,460.8794456,102.1077213,430.46,306.4563325
280.61,77.17,1009.49,73.19,2817.277714,804.3494437,2312.837538,460.9040235,102.1123843,430.46,306.4712415
278.21,73.06,1008.26,86.29,2817.314671,804.3593158,2312.867912,460.9286121,102.1173413,430.46,306.4864665
278.16,71.94,1007.69,68.17,2817.35052,804.3691924,2312.897172,460.9534078,102.1223549,430.46,306.5011257
278.16,71.94,1007.69,68.17,2817.390884,804.3790212,2312.927493,460.9783039,102.1273179,430.46,306.5159939
280.95,71.58,1009.95,50.02,2817.428122,804.3889109,2312.957869,461.0030209,102.1322548,430.47,306.5306655
281.19,68.3,1014.86,39.1,2817.47015,804.3988033,2312.987854,461.0277546,102.1368568,430.48,306.5458093
278.68,70.32,1008.51,45.73,2817.512544,804.4086449,2313.01765,461.0523299,102.1417625,430.48,306.5609499
279.25,78.87,1012.05,84.28,2817.553076,804.4184978,2313.04761,461.076948,102.1467536,430.49,306.5755842
279.39,71.14,1010.97,53.88,2817.588839,804.4283836,2313.075832,461.1017443,102.151569,430.5,306.5907108
280.26,77.24,1008.39,74.25,2817.625105,804.438244,2313.104993,461.126349,102.1565067,430.51,306.6056671
277.58,71.97,1008.51,87.99,2817.667269,804.4481089,2313.135582,461.1510132,102.1610879,430.53,306.620989
276.88,73.56,1004.85,94.36,2818.682848,804.7046747,2313.901539,461.7942539,102.2866506,430.63,307.0005074
284.4,77.95,1009.83,57.86,2819.998972,805.0400359,2314.889465,462.6349401,102.450111,420,307.5000906
277.1,73.21,1002.97,89.68,2820.037908,805.0499136,2314.919825,462.6596585,102.4550932,400,307.514247
282.84,74.67,1015.89,31.81,2820.074318,805.0597501,2314.948133,462.6844199,102.4598844,400,307.52848
279.65,71.25,1001.07,73.97,2820.11191,805.0695995,2314.975984,462.7089859,102.4647257,350,307.5434477
276.2,71.73,1010.14,76.14,2820.153796,805.0794799,2315.005883,462.7338852,102.4693773,350,307.5587479
275.14,73.67,1006.94,88.51,2820.192629,805.0893419,2315.036458,462.7585924,102.4741265,300,307.5731646
280.42,67.69,1006.23,54.19,2820.233303,805.0991722,2315.066492,462.7831636,102.478837,250,307.5872359
277.5,68.24,1010.38,73.44,2820.272286,805.109046,2315.094877,462.8078383,102.4835078,250,307.6020797
