CT,V,AP,RH,RPM_GAS,EX_TEMP,RPM_STEAM,STEAM_PRESSURE,WATER_FR,POWER_1,POWER_2
275,64,1019,54,2800,800,2300,450,100,420,300
273,66.05,1020.61,80.29,2800.037542,800.00987,2300.03012,450.0247258,100.0047805,421.57,300.0151278
282.56,68.14,1004.02,35.04,2800.079098,800.0197208,2300.059422,450.0496308,100.0097128,425.11,300.029164
281.74,72.58,1007.26,59.58,2800.120095,800.0296141,2300.088518,450.0744554,100.0142804,425.12,300.0437765
279.67,71.98,1005.16,67.75,2800.157927,800.0394597,2300.117182,450.0991745,100.0193048,425.14,300.0584852
281.93,72.58,1006.9,56.27,2800.197363,800.0493427,2300.146469,450.1240397,100.0240374,425.14,300.0725964
280.71,71.85,1008.07,72.05,2800.237803,800.0592043,2300.176238,450.1488519,100.0288357,425.16,300.0877684
282.66,73.68,1014.64,40.88,2800.279328,800.0690964,2300.204852,450.1735782,100.0336492,425.17,300.1025712
282.84,68.14,1003.59,43.88,2800.315255,800.0789314,2300.235057,450.1982885,100.0383829,425.18,300.1166545
281.92,69.13,1000.77,58.91,2800.355376,800.0887974,2300.26332,450.2228365,100.0431689,425.19,300.1308617
279.2,70.79,1004.8,63.74,2800.39155,800.0986484,2300.29111,450.2474718,100.0480699,425.2,300.1452828
282.19,69.13,1000.45,48.22,2800.432636,800.1084825,2300.321111,450.2720946,100.0527698,425.21,300.1594525
280.2,71.85,1008.25,59.1,2800.472178,800.1183212,2300.349353,450.2967304,100.0577516,425.21,300.1745646
281.12,67.69,1005.3,50.46,2800.510851,800.1282147,2300.377956,450.321471,100.0624318,425.21,300.1896784
281.12,67.69,1005.3,50.46,2800.551614,800.1380798,2300.405765,450.3460552,100.0672565,425.21,300.2046964
280.08,68.14,1003.99,77.38,2800.589054,800.147972,2300.436057,450.3707306,100.0722535,425.27,300.2194745
280.08,68.14,1003.99,77.38,2800.624846,800.1578168,2300.465403,450.3955517,100.076929,425.27,300.233753
281.91,67.83,1008.76,53.22,2800.665781,800.1676949,2300.495881,450.4201744,100.0815977,425.28,300.2483855
278.37,69.13,1010.44,71.93,2800.703932,800.1775247,2300.524603,450.4447426,100.0866005,425.29,300.2625994
280.9,69.4,1003.53,66.69,2800.743837,800.1873548,2300.552891,450.4693763,100.0915077,425.3,300.2775206
281.73,74.67,1016.38,44.51,2800.783024,800.1971926,2300.583451,450.4942812,100.0962872,425.34,300.2922144
280.97,67.69,1005.61,50.88,2800.821111,800.2070524,2300.612313,450.5191295,100.1011165,425.35,300.3074116
283.74,69.98,1012.51,43.3,2800.862406,800.2169157,2300.640038,450.5440461,100.1056884,425.35,300.3218327
280.88,67.83,1008.97,54.99,2800.904115,800.2267742,2300.669814,450.5688129,100.1104793,425.36,300.3370863
284.62,69.05,1000.68,38.35,2800.944524,800.2366379,2300.698006,450.5933494,100.1150303,425.41,300.351503
281.27,69.13,1009.45,57.01,2800.983641,800.2464785,2300.727729,450.6179198,100.1196859,425.48,300.3655613
279,69.13,1001.22,52.96,2801.023743,800.2563339,2300.756146,450.6425796,100.1242982,425.5,300.3806949
284.18,67.9,1005.87,30.34,2801.060447,800.2661798,2300.785456,450.6674762,100.1291645,425.5,300.395755
