Inlet_Steam_Temperature,Outlet Steam Temperature ( C ),Steam_Pressure_at_Boiler_Outlet,Feedwater_Temperature,Steam Flow Rate Kg/h,Feed water temperature Kg/h,Boiler efficiency  %,Turbine efficiency %,Steam quantity %,CO2 emission rate Kg/h,Boliler pressure drop bar,Condenser cooling water flow rate m^3/h,Steam turbile RPM,Generator efficiency,Electrical power output MW
540,150,165,220,600000,650000,90,40,98,900,0.5,3000,3600,97.1,300
542,148,164,218,590000,655000,89,39,97,890,0.6,2950,3590,96.8,298
538,152,166,222,610000,645000,91,41,99,910,0.4,3050,3610,97.5,305
545,147,163,219,595000,660000,88,38,96,880,0.7,2900,3595,96.9,296
539,151,167,221,605000,640000,92,42,98.5,920,0.3,3100,3605,98.1,310
543,149,164.5,219.5,595000,648500,89.5,40.5,97,905,0.6,3020,3602,97.1,301
541,148.5,164,220.5,602000,645800,90.2,40.2,98.2,895,0.5,3030,3599,97.4,303
537,151.2,165.8,220.8,613200,648200,91.2,41.8,99.2,915,0.3,3053,3603,98.6,311
542.3,148.8,164.2,219.7,597800,652800,89.7,40.5,97.8,900,0.5,3025,3604,97.1,304
543.5,149.5,164.7,220.3,606500,647500,90.5,41,98.6,912,0.4,3055,3608,97.5,310.5
541.8,148.2,164.3,219.9,598200,651200,89.8,40.7,97.9,901,0.5,3030,3602,97.2,305.2
538.2,150.8,165.5,220.7,610700,647000,91.2,41.5,99.3,918,0.3,3060,3596,99.2,311.8
540.7,149.2,164.9,220.2,605200,648200,90.7,40.9,98.9,915,0.4,3055,3604,97.4,309
542.4,148.9,165.3,219.6,604300,644100,91.4,41.2,98.4,911,0.3,3044,3597,97.6,304.2
542.000199,150.0001996,165.3004669,218.0003581,58000.9129,650000,90,40,98,915.0659341,0.5,3000.048936,3602.10989,97.1,300
542.0003979,150.0003988,165.3008681,218.0007082,58001.61685,655000,89,39,97,916.389011,0.6,3000.097869,3602.248352,96.8,298
542.0005975,150.0005983,165.3012825,218.0010615,58002.33401,645000,91,41,99,917.7120879,0.4,3000.146856,3602.386813,97.5,305
542.0007968,150.0007975,165.3017495,218.0014148,58003.22736,660000,88,38,96,919.0351648,0.7,3000.195849,3602.525275,96.9,296
542.0009963,150.0009966,165.3022074,218.001767,58004.16066,640000,92,42,98.5,920.3582418,0.3,3000.244826,3602.663736,97.4627451,310
542.001196,150.0011959,165.3026177,218.0021222,58004.94908,648500,89.5,40.5,97,900.2149927,0.6,3000.293757,3602.802198,97.46584107,301
542.0013955,150.0013949,165.3031028,218.0024737,58005.7249,645800,90.2,40.2,98.2,900.4306655,0.5,3000.342678,3602.940659,97.46893705,303
542.0015946,150.0015942,165.3035262,218.0028306,58006.36099,648200,91.2,41.8,99.2,900.6854975,0.3,3000.391673,3603.079121,97.47203302,311
542.0017938,150.0017931,165.3039907,218.0031878,58007.11386,652800,89.7,40.5,97.8,900.9408189,0.5,3000.440584,3603.217582,97.475129,304
542.0019934,150.0019922,165.3044799,218.0035377,58007.72075,647500,90.5,41,98.6,901.1674686,0.4,3000.489574,3603.356044,97.47822497,310.5
542.0021925,150.0021918,165.3049192,218.0038899,58008.51066,651200,89.8,40.7,97.9,901.4175277,0.5,3000.538555,3603.494505,97.48132095,305.2
542.0023919,150.002391,165.3053605,218.0042472,58009.06724,647000,91.2,41.5,99.3,901.6428856,0.3,3000.587451,3603.632967,97.48441692,311.8
542.002591,150.0025903,165.3058238,218.0045993,58009.72675,648200,90.7,40.9,98.9,901.8401041,0.4,3000.636358,3603.771429,97.4875129,309
542.0027904,150.0027896,165.3062586,218.0049578,58010.41739,644100,91.4,41.2,98.4,902.0234371,0.3,3000.685348,3603.90989,97.49060888,304.2
542.0029892,150.002989,165.3066915,218.0053087,58011.02724,650000,90,40,98,902.2421039,0.5,3000.73434,3604.048352,97.49370485,300
542.0031888,150.0031886,165.3071247,218.0056669,58011.59396,655000,89,39,97,902.4854939,0.6,3000.783235,3604.186813,97.49680083,298
542.0033877,150.003388,165.3075455,218.0060215,58012.14296,645000,91,41,99,902.7133296,0.4,3000.832229,3604.325275,97.4998968,305
542.0035872,150.0035875,165.3079633,218.0063799,58012.85938,660000,88,38,96,902.9167024,0.7,3000.881147,3604.463736,97.50299278,296
542.0037861,150.0037865,165.3084016,218.0067358,58013.48392,640000,92,42,98.5,903.1332039,0.3,3000.930058,3604.602198,97.50608875,310
542.0039851,150.0039857,165.3088289,218.0070861,58014.11799,648500,89.5,40.5,97,903.3624018,0.6,3000.979043,3604.740659,97.50918473,301
542.0041847,150.0041851,165.3092528,218.0074434,58014.82537,645800,90.2,40.2,98.2,903.5968512,0.5,3001.027987,3604.879121,97.5122807,303
542.0043841,150.0043845,165.3097079,218.0077981,58015.61163,648200,91.2,41.8,99.2,903.7927564,0.3,3001.076983,3605.017582,97.51537668,311
542.0045833,150.0045838,165.3102036,218.0081556,58016.4368,652800,89.7,40.5,97.8,904.0194645,0.5,3001.125907,3605.156044,97.51847265,304
542.0047826,150.004783,165.3106208,218.0085138,58017.15484,647500,90.5,41,98.6,904.2659375,0.4,3001.174836,3605.294505,97.52156863,310.5
542.0049815,150.0049821,165.3111106,218.0088708,58017.85702,651200,89.8,40.7,97.9,904.477577,0.5,3001.22383,3605.432967,97.5246646,305.2
542.0051811,150.0051813,165.3115227,218.0092244,58018.54139,647000,91.2,41.5,99.3,904.7073879,0.3,3001.272821,3605.571429,97.52776058,311.8
542.0053807,150.0053807,165.3119994,218.0095824,58019.09466,648200,90.7,40.9,98.9,904.8920855,0.4,3001.321747,3605.70989,97.53085655,309
542.0055803,150.0055804,165.3124432,218.0099325,58019.72721,644100,91.4,41.2,98.4,905.1207216,0.3,3001.370684,3605.848352,97.53395253,304.2
542.0057794,150.0057797,165.3128739,218.010283,58020.28777,650000,90,40,98,905.359535,0.5,3001.419669,3605.986813,97.5370485,300
542.0059785,150.0059789,165.3133306,218.0106389,58021.05466,655000,89,39,97,905.5657425,0.6,3001.468664,3606.125275,97.54014448,298
542.0061781,150.0061781,165.3137558,218.0109953,58021.75022,645000,91,41,99,905.8193442,0.4,3001.517584,3606.263736,97.54324045,305
542.0063772,150.0063772,165.3141636,218.0113527,58022.43143,660000,88,38,96,906.009356,0.7,3001.56658,3606.402198,97.54633643,296
542.0065761,150.0065761,165.3146399,218.0117049,58022.9906,640000,92,42,98.5,906.205139,0.3,3001.615556,3606.540659,97.5494324,310
542.0067757,150.0067753,165.3151223,218.0120542,58023.77277,648500,89.5,40.5,97,906.4203315,0.6,3001.664498,3606.679121,97.55252838,301
542.0069751,150.0069743,165.315597,218.0124036,58024.40312,645800,90.2,40.2,98.2,906.6235209,0.5,3001.713434,3606.817582,97.55562436,303
542.0071742,150.0071735,165.3160697,218.0127625,58025.18145,648200,91.2,41.8,99.2,906.8724651,0.3,3001.762352,3606.956044,97.55872033,311
542.0073736,150.0073726,165.3165645,218.013113,58025.78712,652800,89.7,40.5,97.8,907.0849774,0.5,3001.811269,3607.094505,97.56181631,304
542.0075729,150.0075716,165.3170432,218.0134689,58026.33686,647500,90.5,41,98.6,907.2962158,0.4,3001.860162,3607.232967,97.56491228,310.5
542.0077723,150.0077706,165.3175128,218.0138279,58027.14383,651200,89.8,40.7,97.9,907.5104392,0.5,3001.9091,3607.371429,97.56800826,305.2
542.0079716,150.0079698,165.3179126,218.0141788,58027.85455,647000,91.2,41.5,99.3,907.6985507,0.3,3001.958095,3607.50989,97.57110423,311.8
542.0081712,150.0081688,165.318332,218.0145278,58028.59805,648200,90.7,40.9,98.9,907.9529313,0.4,3002.007017,3607.648352,97.57420021,309
542.0083701,150.008368,165.3187982,218.0148788,58029.33615,644100,91.4,41.2,98.4,908.1508367,0.3,3002.055932,3607.786813,97.57729618,304.2
542.0085692,150.0085673,165.3192056,218.0152377,58029.93512,650000,90,40,98,908.3392266,0.5,3002.104922,3607.925275,97.58039216,300
542.0087685,150.0087666,165.3196335,218.0155972,58030.68406,655000,89,39,97,908.5571381,0.6,3002.153831,3608.063736,97.58348813,298
542.0089675,150.0089662,165.3200493,218.0159502,58031.50042,645000,91,41,99,908.8071239,0.4,3002.202818,3608.202198,97.58658411,305
